iter	Passed	Remaining
0	174	17248
1	187	9175
2	197	6374
3	206	4965
4	212	4045
5	218	3430
6	224	2976
7	228	2625
8	232	2352
9	236	2132
10	240	1949
11	245	1798
12	249	1670
13	254	1562
14	258	1464
15	262	1378
16	266	1301
17	270	1232
18	274	1170
19	278	1113
20	282	1063
21	286	1016
22	290	973
23	294	933
24	299	898
25	304	865
26	308	833
27	311	801
28	316	773
29	319	746
30	323	720
31	327	695
32	331	673
33	335	651
34	339	631
35	344	611
36	348	593
37	352	575
38	356	557
39	360	540
40	364	524
41	368	508
42	371	492
43	375	478
44	380	464
45	384	451
46	388	437
47	392	424
48	396	412
49	400	400
50	404	388
51	408	376
52	412	365
53	416	354
54	420	343
55	423	333
56	428	323
57	432	313
58	436	303
59	440	293
60	445	284
61	449	275
62	453	266
63	458	257
64	463	249
65	467	240
66	472	232
67	476	224
68	480	216
69	484	207
70	488	199
71	493	191
72	497	184
73	501	176
74	506	168
75	510	161
76	514	153
77	518	146
78	523	139
79	527	131
80	531	124
81	535	117
82	540	110
83	544	103
84	547	96
85	551	89
86	555	83
87	559	76
88	563	69
89	567	63
90	571	56
91	575	50
92	579	43
93	583	37
94	587	30
95	591	24
96	595	18
97	598	12
98	602	6
99	607	0
